toxin_type,binding_type,binding_affinity_nM,binding_site,toxin_id,antibody_id,data_source
Three-Finger Toxin,Broad-spectrum,343.9,Multiple epitopes,SYN_TOX_3FTx_87,SYN_MAB_109_H,synthetic
Snake Venom Serine Protease,Mixed,6.7,Multiple CDRs,E5L0E3.1,8SXP_H,real
Cysteine-Rich Secretory Protein,Mixed,3.46,Multiple CDRs,XP_034288378.1,6IOM_A,real
Disintegrin,Mixed,17.0,Multiple CDRs,A43020,NP_001265042.1,real
Three-Finger Toxin,Specific,6.8,Loop I,SYN_TOX_3FTx_171,SYN_MAB_68_H,synthetic
Disintegrin,Conformational,3.76,Multiple CDRs,AAB27210.1,6ION_A,real
Snake Venom Metalloproteinase,Conformational,1.06,CDR-H3,O57413.1,6IOM_B,real
Snake Venom Serine Protease,Linear,98.04,Multiple CDRs,P0DJ86.1,P00740.2,real
Snake Venom Metalloproteinase,Conformational,16.21,Multiple CDRs,Q9W7S2.1,1CDR_A,real
Snake Venom Serine Protease,Conformational,18.1,Multiple CDRs,P0DJF6.1,8SXP_L,real
Cysteine-Rich Secretory Protein,Mixed,3.65,CDR-H3,KAG8124483.1,4V1D_D,real
Snake Venom Metalloproteinase,Linear,15.02,CDR-H3,F8RKW1.1,NP_000602.1,real
Snake Venom Metalloproteinase,Mixed,9.06,CDR-H3,P0C6R9.2,4V1D_A,real
Cysteine-Rich Secretory Protein,Conformational,44.25,Multiple CDRs,KAG8124483.1,6IOM_A,real
Snake Venom Metalloproteinase,Linear,11.57,Multiple CDRs,O57413.1,4V1D_A,real
Disintegrin,Mixed,8.83,CDR-H3,AAB27210.1,1CDS_A,real
Disintegrin,Mixed,2.28,CDR-H3,ABD34834.1,9CU6_J,real
Disintegrin,Mixed,4.78,CDR-H3,A43020,8SXP_L,real
Snake Venom Serine Protease,Mixed,8.84,Multiple CDRs,P81824.2,1CDR_A,real
Snake Venom Metalloproteinase,Mixed,3.79,Multiple CDRs,P84035.1,6ION_A,real
Snake Venom Metalloproteinase,Mixed,11.66,CDR-H3,P0DM89.1,6IOM_B,real
Snake Venom Serine Protease,Mixed,8.42,CDR-H3,E0Y420.1,1CDS_A,real
Snake Venom Serine Protease,Mixed,3.95,CDR-H3,E0Y418.1,4V1D_B,real
Cysteine-Rich Secretory Protein,Conformational,7.93,Multiple CDRs,6IMF_A,6ION_A,real
Snake Venom Metalloproteinase,Conformational,15.51,Multiple CDRs,P0DL29.1,1CDS_A,real
Snake Venom Serine Protease,Mixed,5.06,Multiple CDRs,E0Y418.1,9MIA_N,real
Snake Venom Serine Protease,Linear,27.55,Multiple CDRs,Q2PQJ3.1,1CDQ_A,real
Cysteine-Rich Secretory Protein,Mixed,2.64,Multiple CDRs,XP_026549114.1,8TO9_B,real
Snake Venom Metalloproteinase,Conformational,4.27,CDR-H3,C0L2T8.1,9MIA_L,real
Snake Venom Metalloproteinase,Mixed,12.59,CDR-H3,Q5XUW8.1,9CLP_H,real
Cysteine-Rich Secretory Protein,Mixed,4.56,CDR-H3,XP_039190748.1,NP_000602.1,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,36.7,Multiple epitopes,SYN_TOX_KSPI_47,SYN_MAB_120_H,synthetic
Snake Venom Serine Protease,Linear,9.33,Multiple CDRs,O93421.2,4V1D_A,real
Phospholipase A2,Linear,8.22,Multiple CDRs,AAB33759.1,4V1D_D,real
Snake Venom Serine Protease,Linear,13.51,CDR-H3,NP_001310176.1,1CDS_A,real
Snake Venom Serine Protease,Linear,5.46,Multiple CDRs,E5L0E4.1,4V1D_B,real
Disintegrin,Broad-spectrum,295.2,Multiple epitopes,SYN_TOX_DIS_20,SYN_MAB_17_H,synthetic
Disintegrin,Linear,5.52,Multiple CDRs,A43020,NP_001424713.1,real
Cysteine-Rich Secretory Protein,Linear,9.81,Multiple CDRs,AAL54918.1,NP_000602.1,real
Snake Venom Metalloproteinase,Linear,5.16,Multiple CDRs,P84035.1,4V1D_B,real
Phospholipase A2,Linear,0.94,Multiple CDRs,XCA51213.1,9CU6_F,real
Cysteine-Rich Secretory Protein,Specific,19.3,Ion Channel Binding Region,SYN_TOX_CRISP_77,SYN_MAB_142_H,synthetic
Cysteine-Rich Secretory Protein,Specific,8.7,CAP Domain,SYN_TOX_CRISP_147,SYN_MAB_105_H,synthetic
Snake Venom Serine Protease,Conformational,1.69,Multiple CDRs,P81824.2,6IOM_B,real
Cysteine-Rich Secretory Protein,Conformational,13.65,CDR-H3,XP_039190751.1,6IOM_B,real
Phospholipase A2,Linear,8.64,CDR-H3,AAB36471.1,1CDR_A,real
Snake Venom Metalloproteinase,Mixed,15.93,CDR-H3,J3SBP9.1,1CDS_A,real
Snake Venom Metalloproteinase,Mixed,24.2,Multiple CDRs,P0DM97.1,NP_001265043.1,real
Snake Venom Metalloproteinase,Broad-spectrum,188.3,Multiple epitopes,SYN_TOX_SVMP_9,SYN_MAB_91_H,synthetic
Snake Venom Metalloproteinase,Linear,17.8,CDR-H3,Q9PW36.1,NP_001265043.1,real
Cysteine-Rich Secretory Protein,Broad-spectrum,34.4,Multiple epitopes,SYN_TOX_CRISP_196,SYN_MAB_40_H,synthetic
Disintegrin,Specific,13.2,RGD Motif,SYN_TOX_DIS_48,SYN_MAB_24_H,synthetic
Disintegrin,Specific,21.0,RGD Motif,SYN_TOX_DIS_174,SYN_MAB_148_H,synthetic
Snake Venom Metalloproteinase,Conformational,25.82,Multiple CDRs,A3R0T9.1,P13987.1,real
Snake Venom Serine Protease,Specific,6.0,Substrate Binding Site,SYN_TOX_SVSP_18,SYN_MAB_90_H,synthetic
Disintegrin,Specific,29.7,RGD Motif,SYN_TOX_DIS_125,SYN_MAB_9_H,synthetic
Snake Venom Serine Protease,Conformational,3.28,Multiple CDRs,B0FXM2.1,1CDQ_A,real
Cysteine-Rich Secretory Protein,Linear,1.25,Multiple CDRs,AAL54896.1,9CU6_F,real
Snake Venom Metalloproteinase,Mixed,12.39,CDR-H3,Q2EI26.1,1CDR_A,real
Snake Venom Serine Protease,Conformational,6.42,CDR-H3,B0ZT25.1,NP_000602.1,real
Cysteine-Rich Secretory Protein,Mixed,12.03,Multiple CDRs,XP_032069593.1,1CDS_A,real
Snake Venom Metalloproteinase,Mixed,10.83,Multiple CDRs,P0DM89.1,P13987.1,real
Snake Venom Serine Protease,Conformational,14.15,CDR-H3,E0Y419.1,1CDQ_A,real
Phospholipase A2,Conformational,300.74,CDR-H3,AAB36472.1,4V1D_E,real
Disintegrin,Specific,13.0,C-terminal Region,SYN_TOX_DIS_41,SYN_MAB_13_H,synthetic
Cysteine-Rich Secretory Protein,Linear,8.7,Multiple CDRs,CAP74089.1,4V1D_A,real
Snake Venom Serine Protease,Mixed,9.53,CDR-H3,Q27J47.1,9CU6_G,real
Phospholipase A2,Broad-spectrum,235.9,Multiple epitopes,SYN_TOX_PLA2_148,SYN_MAB_98_H,synthetic
Snake Venom Metalloproteinase,Linear,27.13,Multiple CDRs,P82942.1,4V1D_D,real
Cysteine-Rich Secretory Protein,Linear,16.61,CDR-H3,ATU85541.1,P00740.2,real
Snake Venom Serine Protease,Conformational,3.67,CDR-H3,P84788.1,1CDS_A,real
Snake Venom Metalloproteinase,Mixed,1.79,CDR-H3,P14530.3,8SXP_L,real
Phospholipase A2,Linear,21.53,Multiple CDRs,AAB25792.1,8SXP_H,real
Snake Venom Serine Protease,Mixed,1.24,Multiple CDRs,Q9I8X1.2,6IOM_A,real
Three-Finger Toxin,Specific,1.1,Central Core,SYN_TOX_3FTx_108,SYN_MAB_143_H,synthetic
Snake Venom Metalloproteinase,Mixed,6.27,Multiple CDRs,P0DM87.1,9CLP_L,real
Disintegrin,Mixed,2.46,Multiple CDRs,AAB30855.1,6ION_A,real
Snake Venom Metalloproteinase,Mixed,4.43,Multiple CDRs,Q0NZX6.1,9MI0_H,real
Cysteine-Rich Secretory Protein,Linear,6.55,Multiple CDRs,AAL54918.1,9MIA_H,real
Snake Venom Serine Protease,Mixed,0.87,Multiple CDRs,B5U6Y3.1,9CU5_J,real
Snake Venom Serine Protease,Mixed,13.06,Multiple CDRs,D8MIA2.1,P13987.1,real
Snake Venom Metalloproteinase,Linear,99.89,CDR-H3,V5TBK6.1,1CDR_A,real
Snake Venom Metalloproteinase,Conformational,27.19,CDR-H3,R4NNL0.1,NP_001424713.1,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,382.0,Multiple epitopes,SYN_TOX_KSPI_194,SYN_MAB_91_H,synthetic
Cysteine-Rich Secretory Protein,Linear,13.65,CDR-H3,XP_070588618.1,1CDR_A,real
Snake Venom Metalloproteinase,Mixed,22.06,Multiple CDRs,P82942.1,9CLP_L,real
Snake Venom Metalloproteinase,Mixed,22.11,CDR-H3,F8RKV9.1,1CDS_A,real
Snake Venom Metalloproteinase,Linear,2.57,Multiple CDRs,P82942.1,9MIB_L,real
Snake Venom Serine Protease,Conformational,10.2,Multiple CDRs,A7LAC7.1,9CU5_J,real
Three-Finger Toxin,Broad-spectrum,370.0,Multiple epitopes,SYN_TOX_3FTx_38,SYN_MAB_61_H,synthetic
Snake Venom Serine Protease,Linear,26.39,Multiple CDRs,A0A1I9KNP0.1,6IOM_B,real
Cysteine-Rich Secretory Protein,Linear,13.69,CDR-H3,BAP39957.1,9CLP_L,real
Snake Venom Serine Protease,Linear,8.32,CDR-H3,E0Y419.1,9CLP_H,real
Snake Venom Serine Protease,Conformational,4.11,Multiple CDRs,E0Y421.1,NP_000602.1,real
Cysteine-Rich Secretory Protein,Linear,5.52,CDR-H3,BAP39923.1,8SXP_H,real
Snake Venom Metalloproteinase,Broad-spectrum,329.3,Multiple epitopes,SYN_TOX_SVMP_135,SYN_MAB_56_H,synthetic
Snake Venom Serine Protease,Conformational,18.13,CDR-H3,P0CJ41.1,9MII_H,real
Disintegrin,Mixed,6.67,CDR-H3,A43020,NP_000602.1,real
Snake Venom Metalloproteinase,Mixed,3.04,Multiple CDRs,J3SDW8.1,4V1D_D,real
Snake Venom Serine Protease,Mixed,6.31,CDR-H3,B0ZT25.1,4V1D_D,real
Snake Venom Serine Protease,Linear,4.59,Multiple CDRs,NP_001310176.1,8SXP_L,real
Snake Venom Serine Protease,Linear,2.57,CDR-H3,O93421.2,1CDS_A,real
Snake Venom Metalloproteinase,Conformational,12.82,Multiple CDRs,J3S830.1,6IOM_B,real
Phospholipase A2,Mixed,5.89,Multiple CDRs,XCA51353.1,6IOM_B,real
Snake Venom Metalloproteinase,Conformational,3.91,CDR-H3,A3R0T9.1,9CU6_D,real
Snake Venom Metalloproteinase,Mixed,4.8,CDR-H3,Q9W7S2.1,1CDS_A,real
Kunitz-type Serine Protease Inhibitor,Specific,12.1,Secondary Contact Site,SYN_TOX_KSPI_40,SYN_MAB_83_H,synthetic
Snake Venom Serine Protease,Conformational,3.18,Multiple CDRs,O93421.2,1CDQ_A,real
Cysteine-Rich Secretory Protein,Specific,23.5,Ion Channel Binding Region,SYN_TOX_CRISP_119,SYN_MAB_5_H,synthetic
Snake Venom Serine Protease,Conformational,12.93,CDR-H3,E0Y419.1,P00740.2,real
Snake Venom Metalloproteinase,Specific,26.0,Substrate Recognition Site,SYN_TOX_SVMP_51,SYN_MAB_89_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,6.57,CDR-H3,XP_026568634.1,Q9HCN6.4,real
Snake Venom Serine Protease,Conformational,7.02,Multiple CDRs,O93421.2,P13987.1,real
Snake Venom Metalloproteinase,Linear,54.07,Multiple CDRs,O57413.1,NP_001265043.1,real
Snake Venom Serine Protease,Linear,10.21,CDR-H3,Q072L6.1,4V1D_E,real
Snake Venom Metalloproteinase,Linear,13.73,CDR-H3,F8S108.1,9B7R_L,real
Snake Venom Metalloproteinase,Linear,6.47,CDR-H3,J3SBP9.1,6IOM_B,real
Phospholipase A2,Linear,10.55,CDR-H3,AAB36472.1,8U9Y_N,real
Snake Venom Serine Protease,Conformational,0.28,CDR-H3,E5L0E3.1,4V1D_A,real
Cysteine-Rich Secretory Protein,Linear,6.81,CDR-H3,XP_070812678.1,9CLP_C,real
Snake Venom Metalloproteinase,Linear,10.44,Multiple CDRs,Q5XUW8.1,4V1D_E,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,11.3,Multiple epitopes,SYN_TOX_KSPI_47,SYN_MAB_12_H,synthetic
Phospholipase A2,Conformational,3.42,CDR-H3,XCA51370.1,Q9HCN6.4,real
Snake Venom Serine Protease,Mixed,6.48,Multiple CDRs,O93421.2,9MIH_L,real
Snake Venom Metalloproteinase,Mixed,9.96,Multiple CDRs,Q9W7S2.1,P00740.2,real
Snake Venom Serine Protease,Linear,17.72,CDR-H3,Q8UUJ2.2,9CLP_L,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,34.3,Multiple epitopes,SYN_TOX_KSPI_187,SYN_MAB_61_H,synthetic
Snake Venom Metalloproteinase,Linear,2.88,CDR-H3,P14530.3,6IOM_A,real
Snake Venom Metalloproteinase,Conformational,1.86,Multiple CDRs,P84035.1,P00740.2,real
Cysteine-Rich Secretory Protein,Linear,6.34,Multiple CDRs,XP_026568632.1,9CU6_K,real
Phospholipase A2,Mixed,12.98,Multiple CDRs,AAB20783.1,8SXP_L,real
Snake Venom Metalloproteinase,Mixed,5.94,Multiple CDRs,R4NNL0.1,NP_001265043.1,real
Phospholipase A2,Mixed,2.27,CDR-H3,AAB26654.1,9CLP_L,real
Snake Venom Serine Protease,Linear,1.89,Multiple CDRs,Q27J47.1,1CDS_A,real
Cysteine-Rich Secretory Protein,Linear,4.35,CDR-H3,BAP39957.1,P00740.2,real
Snake Venom Serine Protease,Conformational,6.69,Multiple CDRs,E0Y418.1,P00740.2,real
Snake Venom Serine Protease,Linear,5.73,Multiple CDRs,E0Y421.1,9CU5_F,real
Snake Venom Serine Protease,Mixed,19.73,Multiple CDRs,D8MIA2.1,P00740.2,real
Phospholipase A2,Linear,14.14,CDR-H3,AAB24834.1,9CLP_L,real
Snake Venom Serine Protease,Linear,77.93,CDR-H3,Q2PQJ3.1,6ION_A,real
Cysteine-Rich Secretory Protein,Linear,6.79,CDR-H3,XP_026549114.1,4V1D_E,real
Snake Venom Metalloproteinase,Mixed,4.24,Multiple CDRs,P0DQT6.1,6ION_A,real
Snake Venom Serine Protease,Linear,3.32,Multiple CDRs,E5L0E6.1,8SXP_L,real
Snake Venom Metalloproteinase,Specific,20.7,Catalytic Domain,SYN_TOX_SVMP_2,SYN_MAB_129_H,synthetic
Disintegrin,Broad-spectrum,73.7,Multiple epitopes,SYN_TOX_DIS_41,SYN_MAB_55_H,synthetic
Phospholipase A2,Conformational,39.95,CDR-H3,AAB24834.1,1CDS_A,real
Snake Venom Metalloproteinase,Conformational,1.12,Multiple CDRs,F8RKV9.1,8SXP_L,real
Snake Venom Metalloproteinase,Linear,7.43,CDR-H3,O42138.1,NP_001265042.1,real
Disintegrin,Specific,15.2,RGD Motif,SYN_TOX_DIS_97,SYN_MAB_133_H,synthetic
Phospholipase A2,Linear,18.48,CDR-H3,XCA51249.1,P00740.2,real
Cysteine-Rich Secretory Protein,Linear,19.17,Multiple CDRs,XP_026547749.1,4V1D_E,real
Snake Venom Metalloproteinase,Linear,7.29,Multiple CDRs,P0DL29.1,9MI0_H,real
Cysteine-Rich Secretory Protein,Conformational,6.74,Multiple CDRs,XP_013911763.1,6IOM_B,real
Snake Venom Metalloproteinase,Linear,5.78,Multiple CDRs,A2TK72.1,P00740.2,real
Cysteine-Rich Secretory Protein,Conformational,24.01,CDR-H3,XP_039190748.1,8TO9_Z,real
Snake Venom Serine Protease,Mixed,5.79,CDR-H3,P0CJ41.1,P00740.2,real
Cysteine-Rich Secretory Protein,Mixed,1.56,Multiple CDRs,XP_032069584.1,P13987.1,real
Snake Venom Serine Protease,Linear,12.86,CDR-H3,P81824.2,9CLP_C,real
Cysteine-Rich Secretory Protein,Linear,5.72,Multiple CDRs,KAG8124481.1,NP_000602.1,real
Phospholipase A2,Specific,21.3,Calcium Binding Loop,SYN_TOX_PLA2_71,SYN_MAB_21_H,synthetic
Phospholipase A2,Specific,18.4,Enzymatic Site,SYN_TOX_PLA2_176,SYN_MAB_27_H,synthetic
Snake Venom Metalloproteinase,Mixed,10.59,CDR-H3,J9Z332.1,6IOM_A,real
Cysteine-Rich Secretory Protein,Conformational,17.36,Multiple CDRs,XP_026568636.1,P00740.2,real
Snake Venom Metalloproteinase,Mixed,10.12,CDR-H3,C0HM67.1,P13987.1,real
Snake Venom Serine Protease,Mixed,3.26,Multiple CDRs,A7LAC7.1,6IOM_A,real
Snake Venom Metalloproteinase,Conformational,13.87,CDR-H3,Q5XUW8.1,NP_001265043.1,real
Phospholipase A2,Mixed,0.91,Multiple CDRs,AAB25792.1,6IOM_B,real
Snake Venom Metalloproteinase,Mixed,14.92,Multiple CDRs,P0DQT6.1,1CDR_A,real
Phospholipase A2,Broad-spectrum,84.7,Multiple epitopes,SYN_TOX_PLA2_92,SYN_MAB_91_H,synthetic
Phospholipase A2,Specific,3.7,Hydrophobic Channel,SYN_TOX_PLA2_176,SYN_MAB_121_H,synthetic
Snake Venom Metalloproteinase,Linear,37.59,Multiple CDRs,F8RKW0.1,NP_000602.1,real
Snake Venom Serine Protease,Conformational,4.39,Multiple CDRs,E0Y418.1,6IOM_A,real
Snake Venom Serine Protease,Mixed,11.64,Multiple CDRs,Q2PQJ3.1,9MI0_L,real
Snake Venom Metalloproteinase,Specific,18.6,Catalytic Domain,SYN_TOX_SVMP_65,SYN_MAB_92_H,synthetic
Cysteine-Rich Secretory Protein,Mixed,18.45,CDR-H3,XP_034288378.1,9MIB_L,real
Snake Venom Serine Protease,Mixed,8.62,Multiple CDRs,P18965.2,8SXP_H,real
Phospholipase A2,Linear,2.23,CDR-H3,KAG5858194.1,6IOM_A,real
Snake Venom Metalloproteinase,Mixed,3.74,CDR-H3,F8RKV9.1,P00740.2,real
Snake Venom Serine Protease,Linear,57.21,CDR-H3,P85109.1,NP_000602.1,real
Snake Venom Metalloproteinase,Specific,16.1,Zinc Binding Site,SYN_TOX_SVMP_107,SYN_MAB_149_H,synthetic
Phospholipase A2,Conformational,2.59,CDR-H3,AAB36472.1,9MIA_K,real
Phospholipase A2,Linear,2.86,CDR-H3,XCA51350.1,8SXP_H,real
Three-Finger Toxin,Specific,23.7,Loop II,SYN_TOX_3FTx_80,SYN_MAB_84_H,synthetic
Phospholipase A2,Linear,3.93,Multiple CDRs,AAB36471.1,9MIA_P,real
Cysteine-Rich Secretory Protein,Linear,2.07,CDR-H3,XP_032069584.1,9CU5_F,real
Phospholipase A2,Linear,3.39,Multiple CDRs,AAB33760.1,6ION_A,real
Snake Venom Metalloproteinase,Conformational,26.66,CDR-H3,J3SDW8.1,1CDQ_A,real
Snake Venom Metalloproteinase,Conformational,3.51,Multiple CDRs,Q2EI26.1,NP_001455.3,real
Cysteine-Rich Secretory Protein,Specific,6.4,CAP Domain,SYN_TOX_CRISP_112,SYN_MAB_74_H,synthetic
Disintegrin,Mixed,4.78,Multiple CDRs,P34182.1,6IOM_A,real
Cysteine-Rich Secretory Protein,Broad-spectrum,232.2,Multiple epitopes,SYN_TOX_CRISP_84,SYN_MAB_81_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,3.23,CDR-H3,XP_013911769.1,6ION_A,real
Cysteine-Rich Secretory Protein,Conformational,51.78,Multiple CDRs,XP_026568636.1,9CLP_H,real
Snake Venom Metalloproteinase,Mixed,3.67,Multiple CDRs,U3KRG1.1,1CDQ_A,real
Snake Venom Serine Protease,Linear,7.48,Multiple CDRs,NP_001310176.1,9CLP_C,real
Snake Venom Metalloproteinase,Mixed,1.45,CDR-H3,J9Z332.1,NP_001265043.1,real
Cysteine-Rich Secretory Protein,Linear,1.7,CDR-H3,XP_026568634.1,9B7V_H,real
Phospholipase A2,Mixed,3.82,Multiple CDRs,AAB28454.1,4V1D_E,real
Cysteine-Rich Secretory Protein,Broad-spectrum,124.8,Multiple epitopes,SYN_TOX_CRISP_175,SYN_MAB_98_H,synthetic
Snake Venom Metalloproteinase,Linear,3.71,CDR-H3,U5PZ28.1,P13987.1,real
Kunitz-type Serine Protease Inhibitor,Specific,16.2,Inhibitory Loop,SYN_TOX_KSPI_166,SYN_MAB_145_H,synthetic
Snake Venom Metalloproteinase,Mixed,12.31,Multiple CDRs,A8QL59.1,9CU6_D,real
Snake Venom Serine Protease,Linear,6.12,CDR-H3,Q8UUJ1.2,9CLP_H,real
Snake Venom Metalloproteinase,Conformational,5.51,Multiple CDRs,P0DM97.1,P00740.2,real
Cysteine-Rich Secretory Protein,Mixed,4.01,Multiple CDRs,XP_026547764.1,9B7V_H,real
Snake Venom Serine Protease,Linear,2.59,CDR-H3,E5L0E3.1,P00740.2,real
Snake Venom Serine Protease,Conformational,3.29,CDR-H3,P18965.2,9CU6_J,real
Snake Venom Serine Protease,Linear,22.74,CDR-H3,Q9I8X1.2,1CDQ_A,real
Cysteine-Rich Secretory Protein,Conformational,5.84,CDR-H3,BAP39923.1,P00740.2,real
Disintegrin,Mixed,19.35,Multiple CDRs,P34182.1,9CLP_C,real
Snake Venom Metalloproteinase,Mixed,4.33,CDR-H3,A2TK72.1,1CDR_A,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,143.2,Multiple epitopes,SYN_TOX_KSPI_75,SYN_MAB_120_H,synthetic
Cysteine-Rich Secretory Protein,Linear,7.57,CDR-H3,KAG8124480.1,P13987.1,real
Snake Venom Metalloproteinase,Mixed,4.52,CDR-H3,Q90ZI3.1,1CDS_A,real
Cysteine-Rich Secretory Protein,Conformational,2.86,CDR-H3,XP_058038736.1,1CDS_A,real
Snake Venom Metalloproteinase,Mixed,1.64,Multiple CDRs,A8QL49.1,9CLP_L,real
Snake Venom Serine Protease,Linear,5.48,Multiple CDRs,A7LAC7.1,P00740.2,real
Phospholipase A2,Conformational,2.72,CDR-H3,XCA51214.1,6ION_A,real
Snake Venom Metalloproteinase,Conformational,17.72,Multiple CDRs,C0HM67.1,9CLP_H,real
Disintegrin,Conformational,9.88,CDR-H3,ABD34835.1,NP_001265043.1,real
Snake Venom Metalloproteinase,Conformational,3.24,CDR-H3,R4NNL0.1,NP_001455.3,real
Snake Venom Metalloproteinase,Mixed,3.65,CDR-H3,Q90ZI3.1,8SXP_H,real
Cysteine-Rich Secretory Protein,Conformational,5.58,CDR-H3,XP_026547764.1,1CDR_A,real
Phospholipase A2,Conformational,6.77,CDR-H3,AAB24834.1,9CU5_G,real
Snake Venom Metalloproteinase,Conformational,3.97,CDR-H3,A2TK72.1,4V1D_A,real
Disintegrin,Mixed,6.61,Multiple CDRs,ABD34835.1,NP_001424713.1,real
Cysteine-Rich Secretory Protein,Mixed,5.36,Multiple CDRs,XP_026568634.1,9MI0_H,real
Phospholipase A2,Linear,13.97,CDR-H3,XCA51214.1,9CLP_L,real
Cysteine-Rich Secretory Protein,Mixed,2.14,CDR-H3,AAP20602.1,1CDS_A,real
Snake Venom Serine Protease,Conformational,1.32,Multiple CDRs,Q9PT51.1,9MIB_K,real
Phospholipase A2,Conformational,7.06,CDR-H3,KAG5858194.1,P13987.1,real
Snake Venom Serine Protease,Linear,2.21,Multiple CDRs,Q8UUJ1.2,6ION_A,real
Snake Venom Metalloproteinase,Mixed,22.87,CDR-H3,O42138.1,NP_000602.1,real
Snake Venom Serine Protease,Mixed,18.28,CDR-H3,B0FXM2.1,6IOM_B,real
Cysteine-Rich Secretory Protein,Mixed,14.52,CDR-H3,AAP20603.1,6IOM_B,real
Snake Venom Metalloproteinase,Mixed,9.01,CDR-H3,J3SDW8.1,Q9HCN6.4,real
Snake Venom Serine Protease,Conformational,3.93,Multiple CDRs,C0HLA3.1,4V1D_E,real
Cysteine-Rich Secretory Protein,Linear,8.84,Multiple CDRs,KAG8124481.1,4V1D_E,real
Phospholipase A2,Conformational,13.52,Multiple CDRs,XCA51370.1,1CDR_A,real
Cysteine-Rich Secretory Protein,Linear,14.57,CDR-H3,XP_015678374.1,9CLP_L,real
Snake Venom Metalloproteinase,Conformational,7.33,Multiple CDRs,J3SBP9.1,NP_001265043.1,real
Disintegrin,Linear,34.25,Multiple CDRs,AAB30855.1,4V1D_A,real
Cysteine-Rich Secretory Protein,Mixed,13.79,CDR-H3,XP_026547749.1,9CLP_L,real
Cysteine-Rich Secretory Protein,Conformational,4.71,CDR-H3,AAP20603.1,1CDR_A,real
Snake Venom Metalloproteinase,Specific,10.7,Zinc Binding Site,SYN_TOX_SVMP_16,SYN_MAB_60_H,synthetic
Snake Venom Metalloproteinase,Mixed,16.71,CDR-H3,O42138.1,6ION_A,real
Snake Venom Serine Protease,Conformational,5.06,Multiple CDRs,Q8UUJ2.2,4V1D_B,real
Phospholipase A2,Conformational,93.31,Multiple CDRs,AAB28454.1,9CU5_F,real
Snake Venom Serine Protease,Conformational,13.96,Multiple CDRs,B0FXM1.1,8SXP_H,real
Cysteine-Rich Secretory Protein,Linear,9.25,CDR-H3,XP_034288380.1,9CU6_J,real
Phospholipase A2,Mixed,1.8,Multiple CDRs,XCA51249.1,6IOM_B,real
Cysteine-Rich Secretory Protein,Linear,3.05,Multiple CDRs,6IMF_A,8TO9_A,real
Snake Venom Serine Protease,Conformational,4.54,Multiple CDRs,Q9I8X1.2,4V1D_E,real
Cysteine-Rich Secretory Protein,Mixed,14.01,CDR-H3,XP_039185515.1,6IOM_B,real
Phospholipase A2,Conformational,74.63,Multiple CDRs,XCA51265.1,8U9Y_N,real
Cysteine-Rich Secretory Protein,Specific,1.5,CAP Domain,SYN_TOX_CRISP_42,SYN_MAB_46_H,synthetic
Snake Venom Serine Protease,Linear,2.7,CDR-H3,Q5MCS0.1,6IOM_B,real
Snake Venom Metalloproteinase,Mixed,7.93,CDR-H3,Q5XUW8.1,P00740.2,real
Snake Venom Metalloproteinase,Conformational,5.32,CDR-H3,Q698K8.3,9MIA_K,real
Snake Venom Metalloproteinase,Broad-spectrum,196.6,Multiple epitopes,SYN_TOX_SVMP_163,SYN_MAB_75_H,synthetic
Phospholipase A2,Mixed,2.49,Multiple CDRs,AAB28454.1,4V1D_B,real
Snake Venom Serine Protease,Conformational,15.63,CDR-H3,E5L0E6.1,6ION_A,real
Snake Venom Metalloproteinase,Mixed,50.01,CDR-H3,F8S108.1,NP_001265042.1,real
Snake Venom Metalloproteinase,Mixed,5.07,Multiple CDRs,U3KRG1.1,4V1D_B,real
Disintegrin,Mixed,46.38,CDR-H3,A43020,4V1D_A,real
Cysteine-Rich Secretory Protein,Mixed,2.4,Multiple CDRs,XP_032069593.1,4V1D_D,real
Disintegrin,Mixed,2.88,Multiple CDRs,AAB22477.1,6IOM_A,real
Phospholipase A2,Mixed,5.9,CDR-H3,XCA51350.1,9CLP_L,real
Snake Venom Metalloproteinase,Conformational,68.47,Multiple CDRs,Q5XUW8.1,8U9Y_E,real
Cysteine-Rich Secretory Protein,Conformational,5.4,CDR-H3,XP_026547749.1,6IOM_B,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,355.0,Multiple epitopes,SYN_TOX_KSPI_187,SYN_MAB_81_H,synthetic
Cysteine-Rich Secretory Protein,Linear,24.47,Multiple CDRs,CAP74089.1,9CLP_H,real
Phospholipase A2,Specific,19.1,Hydrophobic Channel,SYN_TOX_PLA2_1,SYN_MAB_122_H,synthetic
Three-Finger Toxin,Broad-spectrum,403.5,Multiple epitopes,SYN_TOX_3FTx_136,SYN_MAB_117_H,synthetic
Snake Venom Metalloproteinase,Broad-spectrum,26.3,Multiple epitopes,SYN_TOX_SVMP_2,SYN_MAB_86_H,synthetic
Disintegrin,Broad-spectrum,264.9,Multiple epitopes,SYN_TOX_DIS_55,SYN_MAB_18_H,synthetic
